mt_id,mt_date,mt_title,mt_hasattach,mt_starter_id,mt_start_time,mt_last_post_time,mt_invited_members,mt_to_count,mt_to_member_id,mt_replies,mt_last_msg_id,mt_first_msg_id,mt_is_draft,mt_is_deleted,mt_is_system
140,1327601529,"A question",0,19,1327601529,1327607161,a:0:{},0,1,5,460,455,0,0,0
141,1327702991,"Don&#39;t worry too much.",0,2,1327702991,1327946668,a:0:{},1,19,2,491,462,0,0,0
142,1327713259,Gruss,0,22,1327713259,1327761298,a:0:{},1,100,3,467,464,0,0,0
143,1327773800,"I&#39;d like to say",0,29,1327773799,1327838261,a:0:{},1,9,1,480,469,0,0,0
144,1327777332,"just so you know",0,29,1327777332,1327780782,a:0:{},1,84,3,473,470,0,0,0
145,1327793276,"Concerning Ethno-Nationalist",0,65,1327793276,1327794352,a:0:{},0,1,1,479,478,0,0,0
146,1327847921,Apologies,0,14,1327847921,1327857092,a:0:{},0,49,1,482,481,0,0,0
147,1327868165,Christianity,0,40,1327868165,1327902597,a:0:{},0,0,1,489,483,0,0,0
148,1327874710,Hey,0,14,1327874709,1328059596,a:0:{},1,8,2,495,484,0,0,0
149,1327885373,"An idea for greater forum cohesion",0,65,1327885373,1328013471,a:0:{},0,1,3,494,487,0,0,0
151,1328200645,IRC,0,108,1328200645,1328215747,a:0:{},1,1,1,504,503,0,0,0
154,1328292121,"Need a translation",0,2,1328292121,1328292462,a:0:{},0,132,3,513,510,0,0,0
156,1328373498,"Zigafolk Radio",0,138,1328373498,1328407651,a:0:{},0,1,4,533,518,0,0,0
157,1328373525,"Zigafolk Radio",0,138,1328373525,1328375521,a:0:{},1,2,4,525,519,0,0,0
159,1328374222,Skype,0,3,1328374222,1328374222,a:0:{},1,9,0,524,524,0,0,0
160,1328386531,"Ð¡Ð¾Ñ†Ð¸Ð°Ð»-ÐœÐ¾Ð½Ð°Ñ€Ñ…Ð¸Ð·Ð¼",0,125,1328386531,1328432306,a:0:{},1,53,1,534,529,0,0,0
161,1328405904,Strasserism,0,7,1328405904,1328407570,a:0:{},0,140,2,532,530,0,1,0
162,1328477381,Hello,0,108,1328477379,1328478300,a:0:{},1,84,1,537,536,0,0,0
164,1328540446,"Ð Ð°Ð´Ð¸Ð¾",0,138,1328540446,1328810065,a:0:{},0,1,9,577,539,0,0,0
165,1328548721,Time,0,14,1328548721,1328550683,a:0:{},1,108,3,546,542,0,0,0
167,1328673064,"Questions about Finland",0,142,1328673064,1328677843,a:0:{},0,132,1,561,559,0,0,0
168,1328677348,Nationality,0,142,1328677347,1328783399,a:0:{},1,91,3,575,560,0,0,0
169,1328716243,Conference,0,14,1328716243,1328716243,a:0:{},1,140,0,563,563,0,0,0
170,1328716287,Conference,0,14,1328716287,1328716287,a:0:{},1,134,0,564,564,0,0,0
171,1328716310,Conference,0,14,1328716310,1328716310,a:0:{},1,84,0,565,565,0,0,0
172,1328716505,Conference,0,14,1328716505,1328729095,a:0:{},0,130,2,569,566,0,0,0
173,1328716597,Conference,0,14,1328716597,1328716597,a:0:{},1,3,0,567,567,0,0,0
174,1328739132,Morality,0,142,1328739132,1328841286,a:0:{},0,7,2,579,570,0,0,0
175,1328823393,FascistCapitalist,0,142,1328823392,1328930165,a:0:{},0,35,4,605,578,0,0,0
176,1328843632,Strasserism,0,142,1328843631,1328907920,a:0:{},1,140,4,598,580,0,0,0
177,1328843880,"Your ideology",0,142,1328843880,1328843880,a:0:{},1,134,0,581,581,0,0,0
178,1328844565,"Just Arrived",0,144,1328844565,1328890149,a:0:{},0,140,2,590,582,0,1,0
179,1328865394,"Lost Phone Number.",0,17,1328865394,1328925409,a:0:{},0,35,2,603,583,0,0,0
180,1328890639,WTF?,0,144,1328890639,1328984375,a:0:{},-2,140,8,608,591,0,1,0
182,1328984898,"Strassite greetings/youtube",0,140,1328984898,1329171074,a:0:{},1,134,2,615,609,0,0,0
183,1328993913,"Your topics",0,1,1328993913,1328998073,a:0:{},0,40,1,611,610,0,1,0
185,1329175150,Chat,0,14,1329175150,1329362623,a:0:{},1,8,6,635,616,0,0,0
187,1329195210,Hola,0,152,1329195209,1329199331,a:0:{},1,44,8,630,622,0,0,0
188,1329338104,Hey,0,14,1329338104,1329338104,a:0:{},0,108,0,631,631,0,1,0
190,1329453552,"Qualified Democracy",0,142,1329453552,1329983201,a:0:{},0,49,12,737,636,0,0,0
191,1329529210,Hola,0,152,1329529210,1329536876,a:0:{},1,44,1,641,640,0,0,0
192,1329552229,Hello,0,7,1329552229,1329688457,a:0:{},0,150,3,663,642,0,1,0
193,1329566808,Eugenics,0,108,1329566807,1329714890,a:0:{},1,142,5,664,643,0,0,0
194,1329586481,"Zwart Front",0,13,1329586480,1330529058,a:0:{},1,91,11,871,645,0,0,0
195,1329667049,"Probably a daft question",0,40,1329667049,1329672025,a:0:{},0,7,5,661,656,0,0,0
196,1329726630,hey,0,35,1329726629,1329726629,a:0:{},0,108,0,668,668,0,1,0
197,1329776143,Hello,0,108,1329776141,1329795551,a:0:{},1,158,1,679,672,0,0,0
198,1329777633,"Your quote",0,140,1329777632,1329796905,a:0:{},1,158,2,681,673,0,0,0
199,1329778175,"Saw one of your comments on black people",0,158,1329778175,1329778175,a:0:{},1,40,0,674,674,0,0,0
200,1329788557,"I like your ideas",0,8,1329788557,1329949535,a:0:{},1,108,5,723,675,0,0,0
201,1329791396,Welcome,0,142,1329791396,1330036012,a:0:{},1,158,6,752,677,0,0,0
202,1329798939,Regionalism,0,142,1329798938,1331781970,a:0:{},1,159,10,972,685,0,0,0
203,1329853221,Hello,0,160,1329853221,1329853221,a:0:{},0,150,0,691,691,0,1,0
204,1329853737,Hello,0,160,1329853737,1329853737,a:0:{},0,65,0,692,692,0,1,0
205,1329853835,hello,0,160,1329853835,1329853835,a:0:{},0,43,0,693,693,0,1,0
206,1329854087,hello,0,160,1329854087,1329858132,a:0:{},1,6,4,702,694,0,0,0
207,1329854155,?,0,160,1329854155,1329858418,a:0:{},1,4,5,704,695,0,0,0
209,1329861936,"Ð Ð°Ð´Ð¸Ð¾",0,138,1329861936,1329861936,a:0:{},0,1,0,706,706,0,0,0
210,1329881073,Hey&#33;,0,84,1329881073,1329881073,a:0:{},1,54,0,710,710,0,0,0
212,1329934695,Hola,0,152,1329934694,1329936750,a:0:{},1,151,1,716,715,0,0,0
215,1329960670,"State Atheism",0,108,1329960670,1329970948,a:0:{},0,61,1,725,724,0,1,0
217,1329990083,apologies,0,35,1329990082,1329991191,a:0:{},0,54,2,741,739,0,1,0
218,1330034387,Greetings,0,158,1330034387,1330063146,a:0:{},0,49,2,758,749,0,0,0
219,1330044511,"National Trotskyism?",0,17,1330044511,1330047351,a:0:{},0,35,1,754,753,0,0,0
220,1330053884,Hello,0,61,1330053884,1330055723,a:0:{},0,161,2,757,755,0,0,0
223,1330134921,Hola,0,152,1330134921,1330136576,a:0:{},1,151,5,768,763,0,0,0
226,1330153086,"National Syndicalism",0,35,1330153086,1332780522,a:0:{},0,146,10,1064,771,0,1,0
227,1330153404,"National Syndicalism",0,35,1330153404,1330410361,a:0:{},0,23,3,862,772,0,1,0
228,1330174257,"Hey sorry to bug you",0,35,1330174257,1330174675,a:0:{},0,22,3,782,779,0,1,0
234,1330273280,"You live in Derby, UK?",0,40,1330273280,1330276375,a:0:{},-1,0,1,795,793,0,0,0
235,1330273284,Introductions,0,9,1330273284,1330273284,a:0:{},-1,0,0,794,794,0,0,0
237,1330279614,Hm,0,164,1330279614,1330369606,a:0:{},0,84,2,839,798,0,1,0
240,1330294208,Hello,0,16,1330294204,1330348086,a:0:{},0,13,1,832,804,0,1,0
243,1330312344,IRC,0,108,1330312344,1330397196,a:0:{},0,17,1,856,820,0,1,0
245,1330323329,hola,0,44,1330323329,1330323731,a:0:{},1,152,3,828,825,0,0,0
246,1330348530,"Friend of Judikar",0,35,1330348530,1330349274,a:0:{},0,158,1,835,834,0,1,0
249,1330378869,"IRC Logs 02-15-12",0,108,1330378868,1330378868,a:0:{},0,35,0,846,846,0,0,0
250,1330379680,Heils,0,35,1330379680,1330455192,a:0:{},0,22,1,868,847,0,1,0
254,1330408204,"sieging &amp; heiling",0,23,1330408204,1330561918,a:0:{},1,9,2,872,861,0,0,0
255,1330484787,Hello,0,7,1330484787,1330484787,a:0:{},0,84,0,870,870,0,1,0
256,1330563492,Hello,0,35,1330563492,1335334596,a:0:{},0,168,4,1409,873,0,1,0
257,1330619456,Hey,0,152,1330619456,1330628413,a:0:{},1,108,1,878,877,0,0,0
260,1330870883,Help,0,19,1330870883,1330870883,a:0:{},0,16,0,890,890,0,0,0
261,1330876253,Stamp,0,22,1330876253,1330892144,a:0:{},1,54,5,897,892,0,0,0
262,1330929507,"A quick question about &#39;Will to Power&#39;",0,65,1330929507,1330946100,a:0:{},0,1,1,899,898,0,0,0
263,1330958071,archive,0,7,1330958071,1330962730,a:0:{},0,4,2,902,900,0,1,0
264,1330975435,Conference,0,14,1330975435,1330975435,a:0:{},0,108,0,903,903,0,1,0
265,1330983807,Hi,0,152,1330983805,1330983867,a:0:{},1,4,1,905,904,0,0,0
266,1330999089,"Pan-Europeanism over here",0,142,1330999088,1332168083,a:0:{},1,140,6,1013,906,0,0,0
267,1331052446,syndicalism?,0,161,1331052446,1331138286,a:0:{},0,91,2,917,908,0,1,0
268,1331069884,"A silly question",0,152,1331069883,1331090677,a:0:{},1,4,4,913,909,0,0,0
269,1331091263,Hey,0,152,1331091263,1331093557,a:0:{},1,44,1,915,914,0,0,0
270,1331145855,"Excuse me",0,19,1331145855,1331162635,a:0:{},0,16,1,919,918,0,0,0
272,1331272446,Thanks&#33;,0,44,1331272446,1331277097,a:0:{},0,130,1,926,923,0,0,0
273,1331274822,"Regarding Anonymous.",0,65,1331274822,1331303162,a:0:{},0,1,2,927,924,0,0,0
274,1331331041,Hi,0,152,1331331041,1331331583,a:0:{},1,91,1,933,932,0,0,0
275,1331384750,"video department",0,175,1331384750,1331384750,a:0:{},0,1,0,934,934,0,0,0
276,1331410421,Belgium,0,161,1331410421,1331411317,a:0:{},0,9,1,936,935,0,1,0
277,1331493077,"Just a thought",0,132,1331493076,1331503446,a:0:{},0,2,1,947,938,0,1,0
279,1331532547,"God dag",0,142,1331532547,1331572967,a:0:{},0,0,1,957,948,0,0,0
283,1331598241,"Dutch NS",0,161,1331598241,1331650479,a:0:{},0,13,1,963,962,0,1,0
288,1331952452,Hey,0,0,1331952452,1331952452,a:0:{},0,84,0,980,980,0,1,0
289,1332014797,ahem,0,7,1332014797,1332190236,a:0:{},0,19,2,1024,981,0,1,0
290,1332033280,"Socialist Phalanx",0,140,1332033280,1332096969,a:0:{},1,182,4,986,982,0,0,0
291,1332110520,"Your current ideology",0,161,1332110520,1332128130,a:0:{},0,140,6,1010,987,0,1,0
298,1332405296,Greetings,0,158,1332405296,1332854640,a:0:{},1,72,2,1076,1037,0,0,0
299,1332523738,1,0,53,1332523738,1332523738,a:0:{},0,0,0,1042,1042,0,0,0
300,1332528906,Hey,0,174,1332528906,1332532024,a:0:{},1,11,2,1045,1043,0,0,0
301,1332542765,Flag,0,67,1332542764,1332859019,a:0:{},0,13,5,1081,1046,0,1,0
302,1332583684,"Un favor",0,130,1332583683,1333235395,a:0:{},0,173,4,1149,1049,0,1,0
303,1332622076,"Reaktion article",0,100,1332622076,1332622076,a:0:{},0,35,0,1051,1051,0,0,0
304,1332626290,"Radio show",0,7,1332626290,1332857261,a:0:{},0,112,1,1080,1052,0,1,0
305,1332650317,hey,0,61,1332650317,1332687389,a:0:{},1,84,1,1056,1055,0,0,0
306,1332765093,"Â¿?",0,44,1332765093,1332765454,a:0:{},1,11,4,1062,1058,0,0,0
307,1332788993,Observant,0,11,1332788992,1332790314,a:0:{},0,14,6,1072,1066,0,0,0
309,1332829241,"Qld elections",0,65,1332829241,1332829241,a:0:{},1,64,0,1075,1075,0,0,0
310,1332855162,"Wondering about your ideology",0,65,1332855162,1332855473,a:0:{},1,130,1,1079,1077,0,0,0
311,1332855431,"Multiracial Mierce?",0,65,1332855431,1332859172,a:0:{},1,4,1,1082,1078,0,0,0
312,1332915581,^_^,0,191,1332915581,1334128247,a:0:{},1,84,13,1255,1083,0,0,0
313,1332951909,hi,0,13,1332951909,1332951943,a:0:{},1,191,1,1087,1086,0,0,0
314,1332951977,^_^,0,191,1332951977,1332952939,a:0:{},1,101,6,1094,1088,0,0,0
315,1333013200,Boers,0,35,1333013200,1333013200,a:0:{},0,13,0,1098,1098,0,1,0
316,1333023757,Evolution,0,197,1333023757,1333023757,a:0:{},1,108,0,1100,1100,0,0,0
317,1333034530,Hallo,0,197,1333034530,1333035000,a:0:{},1,2,6,1109,1102,0,0,0
318,1333034570,Hmm..,0,197,1333034569,1333040917,a:0:{},0,130,2,1111,1103,0,0,0
319,1333050436,"&#39;Ideal State&#39;",0,197,1333050436,1333185557,a:0:{},1,9,1,1143,1114,0,0,0
320,1333110970,Skype,0,197,1333110970,1333115663,a:0:{},1,2,2,1119,1116,0,0,0
324,1333130453,^_^,0,191,1333130453,1333130453,a:0:{},1,142,0,1138,1138,0,0,0
325,1333131702,^_^,0,191,1333131702,1333131702,a:0:{},1,84,0,1140,1140,0,0,0
326,1333231453,Hei&#33;,0,197,1333231453,1333303512,a:0:{},1,61,7,1159,1146,0,0,0
327,1333286078,Hmm,0,197,1333286078,1333300926,a:0:{},1,9,2,1157,1155,0,0,0
328,1333301126,"About quote from my e-mail",0,139,1333301126,1333340078,a:0:{},1,7,2,1167,1158,0,0,0
330,1333321405,"Signature size",0,1,1333321405,1333321405,a:0:{},0,190,0,1164,1164,0,1,0
332,1333369538,"OH HAI&#33; ^_^",0,191,1333369537,1333369910,a:0:{},1,101,1,1169,1168,0,0,0
333,1333493409,Church,0,35,1333493408,1334481544,a:0:{},0,61,18,1308,1172,0,1,0
334,1333497880,skype,0,35,1333497880,1334017257,a:0:{},0,158,2,1233,1173,0,1,0
335,1333498572,"Delete topic ",0,190,1333498571,1333499982,a:0:{},0,35,1,1176,1175,0,0,0
337,1333923767,"Get on Skype",0,197,1333923767,1333923767,a:0:{},0,3,0,1197,1197,0,1,0
338,1333925984,Greetings,0,197,1333925982,1334057966,a:0:{},1,158,5,1246,1198,0,0,0
339,1333931405,"Now that we&#39;re back in a sane place...",0,161,1333931405,1333991830,a:0:{},0,140,5,1215,1199,0,1,0
340,1333931754,Hallo,0,197,1333931754,1333931754,a:0:{},1,3,0,1200,1200,0,0,0
341,1333943138,"Good day",0,197,1333943138,1333943138,a:0:{},1,112,0,1206,1206,0,0,0
342,1333952197,Nationalism,0,142,1333952197,1334007405,a:0:{},1,197,2,1227,1208,0,0,0
343,1333994646,"Continuing the discussion of Eurasianism",0,161,1333994646,1334025475,a:0:{},0,205,12,1241,1216,0,1,0
345,1334260332,"Introductions are important",0,1,1334260332,1334260616,a:0:{},0,206,1,1258,1257,0,1,0
346,1334262767,indiana,0,157,1334262767,1334385216,a:0:{},0,35,3,1280,1259,0,0,0
348,1334380440,"Bonjour L&#39;ami.",0,206,1334380440,1336925849,a:0:{},0,67,9,1501,1275,0,0,0
349,1334426795,"So it begins",0,132,1334426795,1340121153,a:0:{},0,207,58,1729,1286,0,1,0
350,1334453121,"This song",0,61,1334453121,1334483136,a:0:{},0,132,1,1309,1303,0,0,0
351,1334518510,"NAtional Revolutionary articles",0,205,1334518510,1334560103,a:0:{},1,91,1,1321,1314,0,0,0
353,1334624234,Colorado,0,0,1334624234,1335400413,a:0:{},0,133,6,1416,1338,0,1,0
354,1334718231,AIM,0,164,1334718231,1334718626,a:0:{},0,61,1,1354,1353,0,1,0
355,1334719862,WiB,0,61,1334719861,1334801544,a:0:{},1,9,2,1362,1355,0,0,0
357,1334800647,"Spreading Reaktion",0,0,1334800647,1334800673,a:0:{},0,2,1,1361,1360,0,1,0
358,1334967467,Pozdrav,0,0,1334967467,1337985913,a:0:{},0,56,2,1612,1363,0,1,0
360,1335062572,"C.S. Lewis",0,108,1335062571,1335064908,a:0:{},0,161,6,1375,1369,0,0,0
361,1335139224,skype,0,35,1335139224,1335139224,a:0:{},0,142,0,1378,1378,0,1,0
363,1335166448,hi,0,44,1335166448,1335186296,a:0:{},0,130,1,1385,1384,0,0,0
364,1335232558,Nazis,0,142,1335232558,1335366433,a:0:{},0,0,1,1413,1386,0,0,0
366,1335383417,123,0,138,1335383416,1335383416,a:0:{},0,49,0,1415,1415,0,0,0
367,1335440585,"This is ground control...",0,35,1335440585,1342414500,a:0:{},0,23,9,2415,1417,0,1,0
368,1335455687,"Stick this in your pipe and smoke it&#33;",0,84,1335455687,1335455687,a:0:{},1,91,0,1418,1418,0,0,0
370,1335823013,"ÐÐ¾Ð¼ÐµÑ€",0,138,1335823013,1335827394,a:0:{},0,49,1,1444,1443,0,0,0
374,1336092730,hi,0,146,1336092730,1336092730,a:0:{},0,0,0,1457,1457,0,0,0
375,1336141610,"Joining the IM skype",0,65,1336141610,1336211913,a:0:{},1,9,2,1463,1459,0,0,0
376,1336286086,"Joinging the IM Skype",0,65,1336286085,1336286085,a:0:{},0,1,0,1464,1464,0,0,0
377,1336315516,"Sound of resistance",0,13,1336315516,1336317083,a:0:{},1,91,3,1470,1467,0,0,0
