admin_id,admin_ip_address,admin_username,admin_time,admin_success,admin_request
6116,162.158.91.198,"Александр Славрос",1509999673,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""b8953b7d5c6fc14a5630b7735b688395"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6117,162.158.91.198,"Александр Славрос",1510005127,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""72b4c3ac5ff5c7639c22c5d5d07615cf"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6118,162.158.93.88,"Александр Славрос",1510054812,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""ea6501ab59c32d28288e83d6ce9dfdeb"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6119,162.158.93.88,"Александр Славрос",1510275068,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""fedf6a1fde2834540c4815160cc50c40"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6120,162.158.93.88,"Александр Славрос",1510473275,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""86eb726f4c70d1e125fce9e334fdf901"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6121,162.158.93.88,"Александр Славрос",1510607846,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""19f5e68b2dea80d7c3236555fdb59796"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6122,162.158.93.88,"Александр Славрос",1510634842,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""cac33a16dcb4dabb35656342a312c82b"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6123,162.158.93.88,"Александр Славрос",1510685394,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""b989b111e359dc0d3ac991b797b837cc"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6124,162.158.93.88,"Александр Славрос",1510720931,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""2b977b4dc56116a94b02bc1319f4bcad"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6125,172.68.182.89,"Александр Славрос",1510999932,1,"{""adsess"":""mpiq2ka3o3o4i12vbrvdi6e5i4"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""284d2be7932ec7196abf47fd6ebbcb42"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""85ee572481f96bb218ead8e30a41ee1e"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6126,162.158.93.88,"Александр Славрос",1511211540,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""4a53a5e76359d4d5cbada12446ef951a"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6127,162.158.93.88,"Александр Славрос",1511212324,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""dedf76cd3ce94955611152db3ecdffa3"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6128,162.158.93.88,"Александр Славрос",1511213305,1,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""5cadcdda3d7d369d5828dc9cbc0551a9"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
