perm_id,app,perm_type,perm_type_id,perm_view,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,owner_only,friend_only,authorized_users
136,forums,forum,116,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
137,forums,forum,117,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
138,forums,forum,118,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
139,forums,forum,119,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
141,forums,forum,121,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
142,forums,forum,122,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
143,forums,forum,123,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
144,forums,forum,124,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
145,forums,forum,125,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
146,forums,forum,126,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
147,forums,forum,127,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
148,forums,forum,128,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
149,forums,forum,129,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
150,forums,forum,130,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
151,forums,forum,131,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
152,forums,forum,132,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
153,forums,forum,133,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
154,forums,forum,134,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
155,forums,forum,135,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
156,forums,forum,136,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
158,forums,forum,138,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
159,forums,forum,139,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
160,forums,forum,140,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
161,forums,forum,141,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
162,forums,forum,142,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
163,forums,forum,143,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
164,forums,forum,144,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
165,forums,forum,145,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
166,forums,forum,146,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
167,forums,forum,147,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
168,forums,forum,148,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
169,forums,forum,149,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
170,forums,forum,150,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
171,forums,forum,151,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
172,forums,forum,152,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
173,forums,forum,153,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
174,forums,forum,154,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
176,forums,forum,155,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
177,forums,forum,156,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
178,forums,forum,157,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
179,forums,forum,158,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
180,forums,forum,159,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
181,forums,forum,36,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",4,",",,",0,0,""
182,forums,forum,160,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
183,forums,forum,161,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
184,forums,forum,162,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
185,forums,forum,163,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
186,forums,forum,164,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
187,forums,forum,165,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
188,forums,forum,166,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
189,forums,forum,167,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
190,forums,forum,168,",4,3,6,",",4,3,6,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
191,forums,forum,169,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
192,forums,forum,170,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
193,forums,forum,171,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,",",,",",,",",,",0,0,""
198,calendar,calendar,1,",4,2,3,6,",",4,",",4,",",4,3,6,","","","",0,0,
199,forums,forum,172,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,","","","",0,0,
200,forums,forum,173,",4,2,3,6,1,",",4,2,3,6,1,",",4,3,6,",",4,3,6,","","","",0,0,
