wl_id,wl_member,wl_moderator,wl_date,wl_reason,wl_points,wl_note_member,wl_note_mods,wl_mq,wl_mq_unit,wl_rpa,wl_rpa_unit,wl_suspend,wl_suspend_unit,wl_ban_group,wl_expire,wl_expire_unit,wl_acknowledged,wl_content_app,wl_content_id1,wl_content_id2,wl_expire_date
78,6115,132,1381304282,0,1,"For being euphoric shitposter and uncontributive autist.","For being euphoric shitposter and uncontributive autist.",0,d,2,d,0,d,0,0,d,1,members,"","",0
79,6279,132,1381403213,0,6000000,"","",0,d,0,d,-1,d,0,0,d,1,members,"","",0
80,6279,132,1381403245,0,0,"","",0,d,0,d,-1,d,5,0,d,1,members,"","",0
81,49,1,1381988381,0,0,"","",0,d,12,d,0,d,0,0,d,1,forums,70331,"",0
82,6217,132,1381999033,0,1,"","",0,d,0,d,3,d,0,0,d,1,members,"","",0
83,6290,3,1383013400,0,1,"","Totally unsupported claims",0,d,0,d,0,d,0,0,d,1,forums,71075,"",0
84,6302,132,1383169383,0,6000000,"For being too retarded to argue.","",0,d,0,d,-1,d,5,0,d,1,members,"","",0
85,6304,132,1383171509,0,1,"","",0,d,0,d,-1,d,0,0,d,1,members,"","",0
86,6307,132,1383249085,0,1,"","",0,d,0,d,-1,d,0,0,d,1,members,"","",0
87,6310,132,1383677971,0,600000,"","",0,d,-1,d,0,d,0,0,h,1,members,"","",0
88,6117,132,1385065867,0,1,"Licence plates, not degeneration. That goes in the Stupid News. Once again.","",0,d,0,d,0,d,0,0,d,1,members,"","",0
123,6278,3,1386370924,0,1,"Anti-Germanic butthurtness; useless post","",0,d,0,d,0,d,0,0,d,1,forums,73823,"",0
124,6554,132,1387052620,0,0,"","",0,d,0,d,0,d,7,0,d,1,members,"","",0
125,6773,3,1387514121,1,1,"",Troll,0,d,0,d,0,d,0,0,h,1,forums,74825,"",0
126,6773,3,1387514156,1,1,"","",0,d,0,d,0,d,7,0,h,1,forums,74825,"",0
127,6554,3,1387580799,0,0,"","The guy has a dipshit opinion about Golden Dawn, but that doesn't warrant a restriction. Back into members he goes.",0,d,0,d,0,d,0,0,d,1,forums,74694,"",0
128,6554,3,1387580850,0,0,"","Lel forgot to check box I always do that",0,d,0,d,0,d,0,0,d,1,forums,74694,"",0
130,6278,1,1390906639,0,1,"Anti-Russian butthurtness; useless post","We're collecting a set.<br />Anti-Germanic butthurtness; useless post<br />Anti-Russian butthurtness; useless post",0,d,0,d,0,d,0,0,d,1,forums,77385,"",0
132,7428,132,1391185044,0,6000000,"","",0,d,0,d,-1,d,0,0,d,1,members,"","",0
133,7428,132,1391185066,0,1,"","",0,d,0,d,0,d,5,0,d,1,members,"","",0
134,319,16,1392228066,1,1,"Bullshit topics.","Bullshit topics.<br />If we're going to do bullshit posts, fine but topics really should require some form of effort. They clog up the ""newest thread"" section and just generally.<br /><br />NO FUN ALLOWED.",0,d,0,d,0,d,0,0,h,1,members,"","",0
135,7350,16,1392228068,1,1,"Bullshit topics.","Bullshit topics.<br />If we're going to do bullshit posts, fine but topics really should require some form of effort. They clog up the ""newest thread"" section and just generally.<br /><br />NO FUN ALLOWED.",0,d,0,d,0,d,0,0,h,1,members,"","",0
136,7350,16,1392533033,1,1,"Please at least make the topic tangentially related to the forum themes, this isn't /b/, or tumblr.","No comment.",0,d,1,d,0,d,0,0,h,1,members,"","",0
137,7364,132,1393029558,0,1,"Take your fedora off and take it easy.","",0,d,0,d,2,d,0,0,d,1,members,"","",0
138,7461,132,1393718472,0,1,"","",0,d,0,d,0,d,7,0,d,1,forums,79973,"",0
139,7364,132,1394810007,0,1,"","",0,d,0,d,0,d,7,0,d,1,members,"","",0
140,7705,132,1399487058,0,1,"","",0,d,0,d,0,d,7,0,d,1,members,"","",0
141,7705,132,1399524762,0,1,"","",0,d,0,d,-1,d,5,0,d,1,members,"","",0
142,7745,132,1400861302,0,1,"","",0,d,0,d,-1,d,0,0,d,1,members,"","",0
143,49,1,1402033699,0,1,"No more forum drama.","Symbolic warning for a fresh start.",0,d,0,d,0,d,0,0,d,1,forums,86963,"",0
144,7720,132,1405209827,0,6000000,"","",0,d,0,d,-1,d,5,0,d,1,forums,88855,"",0
145,49,132,1406838023,0,60000000,"Solely for being 1/5 trele","",0,d,0,d,14,d,0,0,d,1,members,"","",0
146,8029,132,1412668946,0,609,"","",0,d,0,d,-1,d,5,0,d,1,members,"","",0
147,8052,132,1413970281,0,609,"You're not even trying anymore","",0,d,0,d,-1,d,0,0,d,1,forums,94489,"",0
148,8151,132,1418389241,0,1,"","",0,d,0,d,-1,d,5,0,d,1,members,"","",0
149,8314,132,1418750956,0,1,"","",0,d,0,d,-1,d,5,0,d,1,forums,99059,"",0
150,8698,3721,1419984872,4,1,"[quote name=""suspiciouscelerystalk"" post=""100649"" timestamp=""1419984048""]<br /><br />Next person to continue the Christianity debate in this thread goes to the camps for a few days[/quote]","",0,d,0,d,1,d,7,0,h,1,members,"","",0
151,8264,3721,1420012056,0,0,"You'd do well to consider how this all went and adjust how you approach communicating your views to others accordingly.<br /> [quote]<br />[b]III.[/b]<br /><br />[b]1. [/b]No â€˜Spergingâ€™. As in â€˜Aspergerâ€™s syndromeâ€™, an Autistic mental disorder characterized by extreme egocentricity and an inability to understand how to interact socially. This policy is to curtail and recognise the tendencies of users whose actions and motivations are outside our common goals, are deliberately of no benefit to anyone, and only serve to cause trouble. Regardless of whether it is motivated by narcissism, social alienation, cowardice, or stupidity we must control it, and it is the userâ€™s responsibility to observe these following principles which will serve as a guide to ensure there will be no problems for you while you are here.[/quote]","Uses tor; will probably be back.",0,d,-1,d,-1,d,5,0,d,1,members,"","",0
152,7851,3721,1420109617,0,0,"","0/10 execution",0,d,-1,d,-1,d,5,0,d,1,members,"","",0
153,8698,3721,1420111708,0,0,"","",0,d,0,d,0,d,0,0,d,1,members,"","",0
154,8943,3721,1421040207,0,1,"Stop making shit threads","",0,d,0,d,0,d,0,30,d,1,members,"","",0
155,9109,132,1422402158,0,6000000,"","just for being a general homo lol",0,d,0,d,-1,d,5,0,d,1,forums,103472,"",0
156,8165,3721,1424033664,0,1,"","",0,d,0,d,0,d,0,7,d,1,members,"","",0
157,8165,3721,1424035265,0,1,"","",0,d,0,d,0,d,0,7,d,1,members,"","",0
159,9240,1,1426022749,0,1,"NO MULTIPOSTING<br />NO QUOTING IMAGES FROM THE SAME PAGE<br />NO TISM","",0,d,0,d,0,d,0,3,d,1,forums,107708,"",0
160,7986,1,1426052265,0,0,"FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD","",0,d,0,d,0,d,0,2,d,1,forums,107723,"",0
161,2170,1,1426052285,0,0,"FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD","",0,d,0,d,0,d,0,2,d,1,forums,107728,"",0
162,7600,1,1426052303,0,0,"FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD","",0,d,0,d,0,d,0,2,d,1,forums,107729,"",0
163,6274,1,1426052321,0,1,"FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD","",0,d,0,d,0,d,0,2,d,1,forums,107731,"",0
164,9273,132,1426109551,0,1488,"","",0,d,0,d,-1,d,5,0,d,1,forums,107809,"",0
165,9174,132,1429293522,0,609,"","",0,d,0,d,8,d,0,0,d,1,forums,111377,"",0
166,7481,1,1432313604,0,1,"I felt like it","",0,d,-1,d,0,d,0,0,d,1,forums,113392,"",0
167,9508,2170,1433538345,0,0,"Re-read the introduction guidelines, and do it over.","",0,d,0,d,0,d,3,0,d,1,members,"","",0
168,9512,9144,1433570391,0,1,"I'm your master in here, pleb.","",0,d,0,d,0,d,3,1,h,1,members,"","",0
169,9335,1,1435566483,0,1,"Stop quoting whole images from the same page, you've done it numerous times to date and not once took the hint from all the times your posts were edited.","",0,d,0,d,0,d,0,7,d,1,forums,118862,"",0
170,9335,9144,1435597567,0,1,"ffs. It's pretty simple, if there is an image in a post right above yours don't copy the fucking thing in your quote. Do it again and you'll find yourself on a vacation.","",0,d,0,d,0,d,0,0,d,1,forums,118908,"",0
171,7346,1,1436647269,0,1,"Forum Drama Tism","",0,d,0,d,3,d,0,3,d,1,forums,119822,"",0
172,7481,1,1436647300,0,1,"Forum Drama Tism","",0,d,0,d,3,d,0,3,d,1,forums,119821,"",0
173,9558,9144,1437409672,0,1,"Oy vey.","",0,d,0,d,0,d,7,0,d,1,forums,120379,"",0
174,9558,9144,1437496664,0,5999999,"","",0,d,-1,d,-1,d,5,0,d,1,forums,120565,"",0
175,9567,9144,1438380178,0,1,"Being a fag","",0,d,0,d,0,d,7,0,d,1,forums,121152,"",0
176,7600,1,1438507791,0,1,"Utterly retarded.","",0,d,7,d,0,d,0,7,d,1,forums,121458,"",0
177,9548,9144,1440789056,0,1,"Being an intense tist.","",0,d,0,d,0,d,7,0,d,1,forums,123027,"",0
178,9174,9144,1440944626,0,1,"Go and write ""I will stop dirtying our beautiful forum with multiposts"" fifty times.","",0,d,0,d,0,d,0,0,d,1,forums,123266,"",0
179,9601,2170,1441586776,1,1,"You were told not to make new topics. So don't until further notice.","",0,d,0,d,0,d,0,0,h,1,members,"","",0
180,7481,2170,1442780917,0,3,"One count of treason, one count of subversive activism, one count of undermining the authority of the black corps.","",0,d,0,d,0,d,7,7,d,1,forums,125194,"",0
181,7508,2170,1442782519,0,3,"Charges:<br />1. High treason<br />2. Subversive agitation<br />3. Undermining the moral authority of the adminship and black corps","",0,d,0,d,0,d,0,5,d,1,forums,125211,"",0
182,8343,2170,1443410407,0,1,"I told you bro. I warned you about usernames dawg.","",0,d,0,d,3,d,0,0,d,1,members,"","",0
183,9697,9144,1445732818,0,1,"Don't drop the soap.","",0,d,0,d,0,d,7,0,d,1,forums,130450,"",0
184,9571,9144,1445898367,1,1,"Warning for you so I can keep track.<br /><br />Stop et.","",0,d,0,d,0,d,0,0,h,1,forums,131130,"",0
185,9698,9144,1446013367,0,1,"","",0,d,0,d,0,d,7,0,d,1,forums,131383,"",0
186,9636,9144,1447131674,0,1,"&gt;making me do work","",0,d,0,d,0,d,7,0,d,1,forums,133122,"",0
187,7543,1,1448921313,0,1,"Never post that kind of shit directly, provide link off-site.","",0,d,0,d,0,d,0,3,d,1,forums,135820,"",0
188,9759,7962,1448926594,0,0,"","",-1,d,-1,d,-1,d,5,0,d,1,members,"","",0
189,9748,7962,1448926693,0,0,"","",-1,d,-1,d,-1,d,5,0,d,1,members,"","",0
190,9742,7962,1448926765,0,0,"","",-1,d,-1,d,-1,d,5,0,d,1,members,"","",0
191,9751,7962,1448926836,0,0,"","",-1,d,-1,d,-1,d,5,0,d,1,members,"","",0
192,9727,7962,1448926915,0,0,"","",-1,d,-1,d,-1,d,5,0,d,1,members,"","",0
193,6269,958,1448954400,4,1,"Bringing up Schlesvig war. Is shit user because of that.","",0,d,0,d,0,d,0,0,h,1,forums,135890,"",0
194,7543,958,1448954443,4,1,"Bullying Denmark is a crime against humanity.","",0,d,0,d,0,d,0,0,h,1,forums,135889,"",0
195,958,1,1448954854,4,1,"Abusing your dank mod powers","",0,d,0,d,0,d,0,6,h,1,forums,135892,"",0
196,9787,9144,1450723360,0,1,"Being a moderate cuckservative pleb","",0,d,0,d,0,d,7,0,d,1,forums,138181,"",0
197,9787,7962,1450723424,0,0,"","Banned for being a racial alien and criminal subversive.",-1,d,-1,d,-1,d,5,0,d,1,members,"","",0
198,9787,9144,1450725005,0,0,"","",0,d,0,d,0,d,7,0,d,1,members,"","",0
199,9503,9144,1452215873,0,0,"Because nobody expects the multipost inquisition.","",0,d,0,d,0,d,0,0,d,1,forums,140427,"",0
200,9884,9144,1455485237,0,0,"Being a faggot.","",0,d,0,d,0,d,7,0,d,1,forums,144534,"",0
201,9897,9144,1457762743,0,0,"","",0,d,0,d,0,d,5,0,d,1,forums,144948,"",0
